id,focus,signal,slack,drag,confidence,score,lane
l001,state drift,35,33,6,25,207,ship
l002,review cost,35,34,6,55,239,ship
l003,decision risk,35,35,6,85,271,ship
l004,input pressure,35,36,18,25,165,watch
l005,state drift,35,37,18,55,197,ship
l006,review cost,35,38,18,85,229,ship
l007,decision risk,35,39,34,25,107,hold
l008,input pressure,35,40,34,55,139,watch
l009,state drift,35,41,34,85,171,watch
l010,review cost,60,42,6,25,325,ship
l011,decision risk,60,43,6,55,357,ship
l012,input pressure,60,44,6,85,389,ship
l013,state drift,60,45,18,25,283,ship
l014,review cost,60,46,18,55,315,ship
l015,decision risk,60,47,18,85,347,ship
l016,input pressure,60,48,34,25,225,ship
l017,state drift,60,32,34,55,223,ship
l018,review cost,60,33,34,85,255,ship
l019,decision risk,85,34,6,25,409,ship
l020,input pressure,85,35,6,55,441,ship
l021,state drift,85,36,6,85,473,ship
l022,review cost,85,37,18,25,367,ship
l023,decision risk,85,38,18,55,399,ship
l024,input pressure,85,39,18,85,431,ship
l025,state drift,85,40,34,25,309,ship
l026,review cost,85,41,34,55,341,ship
l027,decision risk,85,42,34,85,373,ship
